,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
15725,Transformers: The Game,PlayStation2,2007-06-26,56,6.8,Traveller'sTales,"Action Adventure,Sci-Fi",1 Player,8,38
11372,Zendoku,DS,2007-06-26,68,0.0,ZoonamiLtd.,"Miscellaneous,Puzzle,Puzzle,Logic,Logic",1-2 ,13,0
16150,Transformers: The Game,PlayStation3,2007-06-26,54,6.0,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,30,19
4565,GrimGrimoire,PlayStation2,2007-06-26,79,9.8,VanillaWare,"Strategy,Real-Time,Fantasy",1 Player,39,2314
13860,Disney/Pixar Ratatouille,Wii,2007-06-26,62,6.6,AsoboStudio,"Action,Platformer,Platformer,3D,3D",1-4 ,16,15
16348,Transformers: The Game,Xbox360,2007-06-26,52,5.6,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,50,41
15580,Disney/Pixar Ratatouille,Xbox360,2007-06-26,56,6.2,HeavyIronStudios,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,14,6
10025,Nervous Brickdown,DS,2007-06-26,70,7.6,ArkedoStudio,"Action,General,General,Arcade",No Online Multiplayer,21,12
16170,Transformers: The Game,Wii,2007-06-26,53,5.5,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",No Online Multiplayer,28,22
13132,Disney/Pixar Ratatouille,DS,2007-06-26,64,7.3,Helixe,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,10,6
6760,Overlord,Xbox360,2007-06-26,76,8.3,TriumphStudios,"Action Adventure,Fantasy,General,Fantasy",2  Online,47,75
15926,Transformers: The Game,PC,2007-06-26,55,5.5,Traveller'sTales,"Action Adventure,Sci-Fi,Sci-Fi,General",1 Player,13,42
3473,Overlord,PC,2007-06-26,81,8.1,TriumphStudios,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,27,291
12209,Lost Planet: Extreme Condition,PC,2007-06-26,66,7.2,Capcom,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",16  Online,23,354
1436,Tom Clancy's Rainbow Six Vegas,PlayStation3,2007-06-26,86,7.6,UbisoftMontreal,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",14  Online,32,91
15016,Driver: Parallel Lines,Wii,2007-06-26,59,5.7,ReflectionsInteractive,"Driving,Action Adventure,Racing,Mission-based,Arcade,Mission-based,Open-World,Automobile",No Online Multiplayer,9,23
17912,Call for Heroes: Pompolic Wars,PC,2007-06-26,25,3.2,QuotixSoftware,"Role-Playing,General,General",1 Player,7,20
11813,Final Fantasy,PSP,2007-06-26,67,8.8,TOSE,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,34,195
13287,Disney/Pixar Ratatouille,PSP,2007-06-26,64,7.3,LocomotiveGames,"Action,Platformer,Platformer,3D,3D",1-2 ,7,11
4828,Carcassonne,Xbox360,2007-06-27,79,8.5,SierraOnline,"Miscellaneous,Board Games,Board Games,Board / Card Game",5  Online,20,23
1673,Super Stardust HD,PlayStation3,2007-06-28,85,8.3,Housemarque,"Action,General,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",1-2 ,21,97
15755,Rafa Nadal Tennis,DS,2007-06-30,56,0.0,VirtualToys,"Sports,Traditional,Individual,Tennis,Tennis",4  Online,9,0
12917,Cookie & Cream,DS,2007-07-02,65,0.0,HiCorp,"Action,Platformer,Platformer,3D,3D",Up to 4 ,16,0
16536,Dead Reefs,PC,2007-07-03,51,6.8,Streko-GraphicsInc.,"Adventure,General,General",1 Player,14,8
817,Ninja Gaiden Sigma,PlayStation3,2007-07-03,88,7.7,TeamNinja,"Action Adventure,Fantasy,General,Fantasy",No Online Multiplayer,46,199
17644,Vampire Rain,Xbox360,2007-07-03,38,3.1,Artoon,"Action Adventure,Horror,Horror,Survival",8  Online,45,45
13673,Missile Command,Xbox360,2007-07-04,63,0.0,StainlessGames,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",1-2 ,15,0
17886,Chicken Shoot,Wii,2007-07-05,27,5.2,DestinationSoftware,"Action,General,General,Shooter,Light Gun",No Online Multiplayer,9,31
13103,Project Sylpheed: Arc of Deception,Xbox360,2007-07-10,64,8.8,"GameArts,SetaCorporation","Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",No Online Multiplayer,45,28
15056,Enemy Engaged 2,PC,2007-07-10,58,4.8,GameyusInteractive,"Simulation,Flight,Helicopter,Helicopter,Civilian",4  Online,12,19
11575,Golden Axe,Xbox360,2007-07-11,68,8.4,BackboneEntertainment,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",2  Online,10,11
11606,Riviera: The Promised Land,PSP,2007-07-11,68,7.9,Sting,"Role-Playing,General,General",1 Player,11,19
5845,Sonic the Hedgehog (Live Arcade),Xbox360,2007-07-11,77,7.4,BackboneEntertainment,"Action,Platformer,Platformer,2D,2D",1 Player,11,43
12386,Sword of the New World: Granado Espada,PC,2007-07-12,66,7.7,IMCGames,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Historic,Historic",Massively Multiplayer,18,49
7240,All-Pro Football 2K8,Xbox360,2007-07-16,75,7.0,VisualConcepts,"Sports,Traditional,Team,Football,Sim,Sim",Up to 8 ,22,57
11464,Smash Court Tennis 3,PSP,2007-07-16,68,6.4,"NamcoBandaiGamesAmerica,NamcoBandaiGames","Sports,Traditional,Individual,Tennis,Tennis",2 ,30,5
8195,All-Pro Football 2K8,PlayStation3,2007-07-16,73,7.3,VisualConcepts,"Sports,Traditional,Team,Football,Sim,Sim",Up to 14 ,23,22
10172,Hot Shots Tennis,PlayStation2,2007-07-17,70,7.9,ClapHanz,"Sports,Traditional,Tennis",1-4 ,44,11
11772,PaRappa the Rapper,PSP,2007-07-17,67,5.8,Epics,"Action,Miscellaneous,Rhythm,Music,Music",Up to 4 ,43,20
6338,Tom Clancy's Ghost Recon Advanced Warfighter 2,PC,2007-07-17,76,7.1,"GRIN,UbisoftParis","Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",32  Online,24,79
7722,Rugby 08,PlayStation2,2007-07-17,74,7.4,EACanada,"Sports,Alternative,Rugby",1-4 ,21,25
3339,NCAA Football 08,Xbox360,2007-07-17,81,7.8,EASports,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,30,46
5918,NCAA Football 08,PlayStation3,2007-07-17,77,7.9,EASports,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,13,29
12114,Tales of the World: Radiant Mythology,PSP,2007-07-17,66,7.7,AlfaSystem,"Role-Playing,Console-style RPG,Action RPG,Console-style RPG,Japanese-Style",1 Player,27,27
1843,Bomberman Live,Xbox360,2007-07-18,84,8.0,BackboneEntertainment,"Miscellaneous,Puzzle,Action,General,Puzzle,Action",8  Online,30,29
16555,Yie Ar Kung-Fu,Xbox360,2007-07-18,51,0.0,DigitalEclipse,"Action,Fighting,Fighting,2D,2D",2  Online,8,0
15593,NASCAR 08,PlayStation2,2007-07-23,56,8.3,EATiburon,"Driving,Racing,Stock Car",4  Online,9,10
1256,Sid Meier's Civilization IV: Beyond the Sword,PC,2007-07-23,86,8.6,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",No Online Multiplayer,28,194
14879,NASCAR 08,Xbox360,2007-07-23,59,5.2,EATiburon,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile",Up to 12 ,29,30
17934,Deal or No Deal,DS,2007-07-23,20,2.2,ArtefactsStudio,"Miscellaneous,Trivia / Game Show,Trivia / Game Show",1-2 ,13,44
15371,NASCAR 08,PlayStation3,2007-07-23,57,4.9,EATiburon,"Driving,Racing,Simulation,Stock Car,Stock Car,Automobile",Up to 12 ,21,15
10683,Guitar Hero Encore: Rocks the 80s,PlayStation2,2007-07-24,69,6.4,HarmonixMusicSystems,"Miscellaneous,Rhythm,Music",1-2 ,50,40
16929,Alien Syndrome,Wii,2007-07-24,48,7.2,TotallyGames,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,24,25
16483,Alien Syndrome,PSP,2007-07-24,51,6.4,TotallyGames,"Role-Playing,Action RPG,Action RPG",1-4 ,20,11
13548,Final Fantasy II,PSP,2007-07-24,63,6.7,TOSE,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,31,44
14389,Super Contra,Xbox360,2007-07-25,61,6.3,Konami,"Action,Shooter,Platformer,Shooter,Scrolling,2D,Scrolling,Shoot-'Em-Up,Horizontal",2  Online,10,8
17704,Escape from Bug Island,Wii,2007-07-25,37,5.3,Spike,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,13,26
15623,Dynasty Warriors DS: Fighter's Battle,DS,2007-07-25,56,6.8,Koei,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",1-3 ,17,5
16608,Wing Commander Arena,Xbox360,2007-07-25,51,5.5,GaiaIndustries,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",16  Online,14,8
2448,Picross DS,DS,2007-07-30,83,8.0,JupiterCorporation,"Miscellaneous,Puzzle,Puzzle,Puzzle,Logic,Logic",5  Online,33,40
4995,Mario Strikers Charged,Wii,2007-07-30,79,8.2,NextLevelGames,"Sports,Traditional,Team,Soccer,Arcade,Arcade",4  Online,47,153
6609,Brave Story: New Traveler,PSP,2007-07-31,76,7.7,GameRepublic,"Role-Playing,General,General,Japanese-Style",1 Player,30,34
14893,Nucleus,PlayStation3,2007-07-31,59,8.0,KujuEntertainment,"Action,General,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",1-2 ,10,7
13848,Marathon: Durandal,Xbox360,2007-08-01,62,7.7,Freeverse,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",8  Online,13,27
16104,Spyglass Board Games,Xbox360,2007-08-01,54,4.0,StrangeFlavour,"Miscellaneous,Board Games,Board Games,Board / Card Game",2  Online,10,7
8610,Glory Days 2,DS,2007-08-06,73,7.3,odenisstudio,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",1-8 ,28,6
13095,Attack on Pearl Harbor,PC,2007-08-06,64,6.9,3DPeople,"Simulation,Flight,WWII,WWII,Combat",12  Online,19,38
15210,Mega Man Star Force: Leo,DS,2007-08-07,58,8.8,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,20,57
15382,Boogie,Wii,2007-08-07,57,5.3,EAMontreal,"Action,Miscellaneous,Rhythm,Music,Music",1-4 ,37,55
13036,Crazy Taxi: Fare Wars,PSP,2007-08-07,64,7.0,Sega,"Miscellaneous,Driving,Mission-based,Compilation",1-2 ,25,20
14432,Mega Man Star Force: Dragon,DS,2007-08-07,60,8.8,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,19,59
14676,Mega Man Star Force: Pegasus,DS,2007-08-07,60,8.7,Capcom,"Role-Playing,Action RPG,Action RPG",6  Online,17,58
13687,Track & Field,Xbox360,2007-08-08,63,7.8,DigitalEclipse,"Action,Sports,General,Olympic Sports,Olympic Sports,Individual,Athletics",4  Online,17,12
5283,Tomb Raider: Anniversary,PSP,2007-08-09,78,8.3,CrystalDynamics,"Action Adventure,Modern,Modern,Linear",1 Player,32,39
10112,Piyotama,PlayStation3,2007-08-09,70,6.8,SCEJapanStudio,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,Matching,General",1-2 ,10,5
11518,Fatal Fury: Battle Archives Volume 1,PlayStation2,2007-08-14,68,8.3,SNKPlaymore,"Miscellaneous,Compilation",1-2 ,22,4
10279,Luminous Arc,DS,2007-08-14,70,6.9,"ImageEpoch,Imageepoch","Strategy,Turn-Based,Fantasy,Fantasy,Tactics",1-2 ,25,27
9620,Madden NFL 08,DS,2007-08-14,71,8.0,ExientEntertainment,"Sports,Traditional,Team,Football,Sim,Sim",8  Online,11,8
15072,Dungeons & Dragons Tactics,PSP,2007-08-14,58,7.5,KujuEntertainment,"Strategy,Turn-Based,Fantasy,General,Fantasy",Up to 4 ,38,28
1716,Madden NFL 08,Xbox360,2007-08-14,85,6.8,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,46,132
12515,Heroes of Mana,DS,2007-08-14,66,7.8,BrownieBrown,"Strategy,Real-Time,Fantasy,General,Fantasy",2 ,32,5
7273,Madden NFL 08,PSP,2007-08-14,75,7.4,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,10,10
3622,Madden NFL 08,PlayStation3,2007-08-14,81,5.8,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,31,37
1175,Shin Megami Tensei: Persona 3,PlayStation2,2007-08-14,86,6.1,AtlusCo.,"Role-Playing,Console-style RPG",1 Player,52,382
5180,Rune Factory: A Fantasy Harvest Moon,DS,2007-08-14,78,8.2,Neverland,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,26,55
5513,Madden NFL 08,PlayStation2,2007-08-14,78,8.5,EATiburon,"Sports,Traditional,Football,Sim",2  Online,11,23
6337,Madden NFL 08,Wii,2007-08-14,76,7.1,EATiburon,"Sports,Traditional,Team,Football,Sim,Sim",2  Online,29,30
9214,Hexic 2,Xbox360,2007-08-15,72,5.7,CarbonatedGames,"Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",2  Online,15,7
16240,Ecco the Dolphin,Xbox360,2007-08-15,53,8.0,BackboneEntertainment,"Action,General,Platformer,Platformer,2D,2D",1 Player,10,10
5655,Brain Age 2: More Training in Minutes a Day,DS,2007-08-20,77,7.3,Nintendo,"Miscellaneous,Edutainment,Edutainment",1-16 ,37,24
12691,Operation: Vietnam,DS,2007-08-20,65,6.3,CoyoteConsole,"Action,Shooter,Shooter,Third-Person,Tactical,Historic,Historic",No info,16,4
16459,Brunswick Pro Bowling,Wii,2007-08-21,52,5.4,PointofView,"Sports,Alternative,Individual,Bowling,Bowling",4  Online,11,23
25,BioShock,Xbox360,2007-08-21,96,8.9,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,88,2572
40,BioShock,PC,2007-08-21,96,8.6,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,44,4814
15664,Dragoneer's Aria,PSP,2007-08-21,56,6.4,HitMaker,"Role-Playing,General,General,Japanese-Style",4  Online,30,9
7973,Destination: Treasure Island,PC,2007-08-21,74,7.0,KheopsStudio,"Adventure,First-Person,General,Point-and-Click,Fantasy",1 Player,11,8
971,Jeanne d'Arc,PSP,2007-08-21,87,8.2,Level5,"Strategy,Turn-Based,Historic,Historic,Tactics",1 Player,45,92
13723,Combat Mission: Shock Force,PC,2007-08-22,62,3.2,BigTimeSoftware,"Strategy,Turn-Based,Wargame,Turn-Based,General",2  Online,15,88
11266,Space Giraffe,Xbox360,2007-08-22,68,7.5,Llamasoft,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down",1 Player,24,84
17307,Street Trace: NYC,Xbox360,2007-08-22,44,6.6,GaiaIndustries,"Simulation,Driving,Car Combat,Car Combat,Vehicle,Combat",8  Online,13,5
12664,Two Worlds,PC,2007-08-23,65,6.8,RealityPump,"Role-Playing,Third-Person,Third-Person,General",Massively Multiplayer,23,256
1871,Tom Clancy's Ghost Recon Advanced Warfighter 2,PlayStation3,2007-08-23,84,7.6,"RedStormEntertainment,UbisoftParis","Action,Shooter,Shooter,First-Person,Third-Person,Tactical,Modern,Modern",16  Online,29,51
16692,Two Worlds,Xbox360,2007-08-23,50,5.4,RealityPump,"Role-Playing,Third-Person,Third-Person,General",Up to 8 ,44,191
14135,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007-08-23,61,5.2,"HighVoltageSoftware,UbisoftParis","Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",2  Online,12,12
481,Metroid Prime 3: Corruption,Wii,2007-08-27,90,8.8,RetroStudios,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,62,612
5373,MotoGP '07,Xbox360,2007-08-27,78,6.9,"ClimaxGroup,ClimaxStudios","Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street",Up to 16 ,20,12
4973,Blue Dragon,Xbox360,2007-08-28,79,8.0,"Mistwalker,Artoon","Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",No Online Multiplayer,56,191
14457,Dynasty Warriors: Gundam,PlayStation3,2007-08-28,60,7.1,"Koei,OmegaForce","Action,Beat-'Em-Up,Beat-'Em-Up,3D",No Online Multiplayer,29,17
9168,Tiger Woods PGA Tour 08,Wii,2007-08-28,72,7.0,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,24,22
1629,Medieval II: Total War Kingdoms,PC,2007-08-28,85,8.8,CreativeAssembly,"Strategy,Real-Time,Historic,General",8  Online,22,207
3500,Tiger Woods PGA Tour 08,DS,2007-08-28,81,7.6,ExientEntertainment,"Sports,Traditional,Individual,Golf,Sim,Sim",2  Online,10,8
7043,Stuntman: Ignition,Xbox360,2007-08-28,75,7.2,ParadigmEntertainment,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",Up to 8 ,38,34
7351,Dead Head Fred,PSP,2007-08-28,75,7.4,ViciousCycle,"Action Adventure,Horror,Horror,Survival",No Online Multiplayer,30,27
15313,Undercover: Operation Wintersun,PC,2007-08-28,57,0.0,"SproingInteractiveMedia,Sproing","Adventure,General,General,Point-and-Click",1 Player,15,0
3499,Tiger Woods PGA Tour 08,DS,2007-08-28,81,7.6,ExientEntertainment,"Sports,Traditional,Individual,Golf,Sim,Sim",2  Online,10,8
10242,Naruto: Ultimate Ninja Heroes,PSP,2007-08-28,70,6.3,"Bandai,CyberConnect2","Action,Fighting,Fighting,3D,3D",2 ,11,18
9395,Wild ARMs 5,PlayStation2,2007-08-28,71,7.6,MediaVision,"Role-Playing,Console-style RPG",1 Player,26,27
4809,Guild Wars: Eye of the North,PC,2007-08-28,79,8.5,ArenaNet,"Role-Playing,General,General,Massively Multiplayer",Massively Multiplayer,20,81
8804,Monster Hunter Freedom 2,PSP,2007-08-28,72,8.5,Capcom,"Role-Playing,Action RPG,Action RPG",Up to 4 ,38,95
2166,Warhawk,PlayStation3,2007-08-28,84,8.3,IncognitoInc.,"Action,Simulation,Shooter,Flight,Shooter,Third-Person,Combat,Sci-Fi,Sci-Fi,Arcade",1-4 ,50,196
15156,Pet Alien: An Intergalactic Puzzlepalooza,DS,2007-08-28,58,0.0,Shin'en,"Action,Platformer,Platformer,3D,3D",1 Player,16,0
4802,Tiger Woods PGA Tour 08,PlayStation3,2007-08-28,79,6.6,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,30,8
4798,Tiger Woods PGA Tour 08,PlayStation3,2007-08-28,79,6.6,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,30,8
9924,Stuntman Ignition,PlayStation2,2007-08-28,71,6.3,ParadigmEntertainment,"Driving,Mission-based",1-8 ,8,9
15776,Dynasty Warriors: Gundam,Xbox360,2007-08-28,55,6.4,"Koei,OmegaForce","Action,Beat-'Em-Up,Beat-'Em-Up,3D",No Online Multiplayer,34,22
4217,Tiger Woods PGA Tour 08,Xbox360,2007-08-28,80,7.8,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",1-4 ,45,26
8978,Tiger Woods PGA Tour 08,PSP,2007-08-28,72,0.0,EASaltLake,"Sports,Traditional,Individual,Golf,Sim,Sim",2  Online,8,0
15688,Carnival Games,Wii,2007-08-28,56,6.0,CatDaddyGames,"Action,Miscellaneous,General,Party,Party,Party / Minigame",No Online Multiplayer,27,46
12564,Tiger Woods PGA Tour 08,PlayStation2,2007-08-28,65,0.0,EASaltLake,"Sports,Traditional,Golf,Sim",4  Online,10,0
17623,Turn It Around,DS,2007-08-28,39,0.0,"TaitoCorporation,505Games","Action,General,General",1-2 ,11,0
6677,Streets of Rage 2,Xbox360,2007-08-29,76,8.5,Sega,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",2  Online,12,28
2610,Super Puzzle Fighter II Turbo HD Remix,Xbox360,2007-08-29,83,8.0,BackboneEntertainment,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",1-4 ,20,16
16198,Lair,PlayStation3,2007-08-30,53,6.4,"Factor5,SCE/WWS","Action,General,General",1 Player,55,239
2909,Super Puzzle Fighter II Turbo HD Remix,PlayStation3,2007-08-30,82,7.4,BackboneEntertainment,"Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching",Up to 4 ,7,14
10382,Garfield's Nightmare,DS,2007-09-04,70,8.4,Shin'en,"Action,Platformer,Platformer,2D,2D",No info,9,24
7980,The Sims 2: Bon Voyage,PC,2007-09-04,74,7.5,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,9,28
16415,Naruto: Uzumaki Chronicles 2,PlayStation2,2007-09-04,52,7.5,CaviaInc.,"Action,General",1-2 ,22,24
5465,Medal of Honor: Airborne,PC,2007-09-04,78,7.3,ElectronicArts,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",12  Online,38,257
4398,Worms: Open Warfare 2,PSP,2007-09-04,80,8.3,"Team17,TwoTribes","Strategy,Turn-Based,Fantasy,Fantasy,Artillery",Up to 4 ,26,28
3656,Worms: Open Warfare 2,DS,2007-09-04,81,8.1,"Team17,TwoTribes","Strategy,Turn-Based,Fantasy,Fantasy,Artillery",1-4 ,25,25
8176,Medal of Honor: Airborne,Xbox360,2007-09-04,73,6.9,ElectronicArts,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",Up to 12 ,54,93
13474,Fatal Fury Special,Xbox360,2007-09-05,63,7.5,MineLoader,"Action,Fighting,Fighting,2D,2D",4  Online,12,6
5974,Stranglehold,Xbox360,2007-09-05,77,7.6,Midway,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade",Up to 6 ,59,103
17489,Cyberball 2072,Xbox360,2007-09-05,41,8.1,DigitalEclipse,"Sports,General,General,Team,Futuristic",2  Online,9,9
17839,Pool Party,Wii,2007-09-05,32,1.6,"SouthPeakGames,Hyper-Devbox","Sports,Miscellaneous,Parlor,Individual,Billiards,Billiards",1-2 ,13,9
14486,.hack//G.U. vol. 3//Redemption,PlayStation2,2007-09-10,60,8.6,CyberConnect2,"Role-Playing,Action RPG",1 Player,15,20
5963,DK: Jungle Climber,DS,2007-09-10,77,6.7,PaonCorporation,"Action,General,General",1-4 ,27,20
9745,NHL 2K8,Xbox360,2007-09-10,71,7.4,KushGames,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",Up to 8 ,43,17
8687,Drawn to Life,DS,2007-09-10,73,7.9,5THCell,"Action Adventure,Adventure,General,General,Sandbox",1 Player,34,39
8003,NHL 2K8,PlayStation3,2007-09-10,74,7.0,KushGames,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",1-8 ,24,4
1447,NHL 08,PlayStation3,2007-09-11,86,7.0,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",1-8 ,23,24
17650,Kengo: Legend of the 9,Xbox360,2007-09-11,38,4.1,Genki,"Action,Beat-'Em-Up,Beat-'Em-Up,2D",2  Online,18,14
2524,DiRT,PlayStation3,2007-09-11,83,8.0,Codemasters,"Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",8  Online,32,38
14356,Fatal Inertia,Xbox360,2007-09-11,61,4.2,Koei,"Driving,Racing,Arcade,Futuristic,Futuristic",1-4 ,30,19
6058,Guilty Gear XX Accent Core,PlayStation2,2007-09-11,77,8.4,ArcSystemWorks,"Action,Fighting,2D",1-2 ,9,20
12807,NHL 08,PC,2007-09-11,65,4.4,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",8  Online,8,20
9315,Jam Sessions,DS,2007-09-11,72,5.3,Plato,"Action,Miscellaneous,Rhythm,Music,Music",1 Player,22,8
17610,Anacapri: The Dream,PC,2007-09-12,39,4.2,S&GSoftware,"Adventure,General,General",1 Player,8,13
3116,Sonic the Hedgehog 2,Xbox360,2007-09-12,82,7.8,"Sega,BackboneEntertainment","Action,Platformer,Platformer,2D,2D",2  Online,11,95
4793,Heavenly Sword,PlayStation3,2007-09-12,79,8.2,NinjaTheory,"Action,Beat-'Em-Up,Beat-'Em-Up,3D",No Online Multiplayer,64,609
1491,NHL 08,Xbox360,2007-09-12,85,8.2,EACanada,"Sports,Traditional,Team,Ice Hockey,Sim,Sim",1-8 ,44,44
11427,Galactic Assault: Prisoner of Power,PC,2007-09-12,68,7.5,Wargaming.net,"Strategy,Turn-Based,Sci-Fi,General",1-2 ,15,47
14003,PixelJunk Racers,PlayStation3,2007-09-13,62,6.1,Q-Games,"Driving,Racing,Arcade,Arcade,Automobile",1-6 ,12,10
1388,Skate,Xbox360,2007-09-14,86,8.4,EABlackBox,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard",6  Online,59,143
14611,7 Wonders of the Ancient World,DS,2007-09-17,60,8.3,HotLavaGames,"Miscellaneous,Puzzle,Puzzle,General,General",No Online Multiplayer,7,49
9075,Juiced 2: Hot Import Nights,DS,2007-09-17,72,0.0,JuiceGames,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",1-4 ,7,0
4524,Eternal Sonata,Xbox360,2007-09-17,79,8.0,Tri-Crescendo,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",1 Player,56,111
6776,Stuntman: Ignition,PlayStation3,2007-09-17,76,6.1,ParadigmEntertainment,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",Up to 8 ,18,13
11331,Juiced 2: Hot Import Nights,Xbox360,2007-09-17,68,7.5,JuiceGames,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile",Up to 8 ,24,25
621,World in Conflict,PC,2007-09-18,89,8.1,MassiveEntertainment,"Strategy,Real-Time,Modern,General",16  Online,44,363
10497,Syphon Filter: Dark Mirror,PlayStation2,2007-09-18,70,8.2,SonyBend,"Action,Shooter,Third-Person,Tactical,Modern",1-8 ,24,16
6154,Stranglehold,PC,2007-09-18,77,7.3,Midway,"Action,Shooter,Shooter,Third-Person,Modern,Modern,Arcade",Up to 6 ,15,98
11848,MySims,DS,2007-09-18,67,7.0,TOSE,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",1 Player,15,18
5243,Sonic Rush Adventure,DS,2007-09-18,78,8.1,DimpsCorporation,"Action,Platformer,Platformer,2D,2D",2  Online,32,91
6807,SingStar Amped,PlayStation2,2007-09-18,76,0.0,SCEELondonStudio,"Miscellaneous,Rhythm,Music",1-8 ,20,0
11460,Digimon World: Dawn,DS,2007-09-18,68,7.7,"Bec,BandaiNamcoGames","Role-Playing,General,General,Trainer",No Online Multiplayer,8,34
14658,Tarr Chronicles,PC,2007-09-18,60,0.0,"Akella,Quasar","Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",No info,12,0
11731,Digimon World: Dusk,DS,2007-09-18,67,7.9,"Bec,BandaiNamcoGames","Role-Playing,General,General,Trainer",No Online Multiplayer,10,24
14653,Growlanser: Heritage of War,PlayStation2,2007-09-18,60,7.9,CareerSoft,"Role-Playing,General",1 Player,7,29
8973,Blazing Angels 2: Secret Missions of WWII,Xbox360,2007-09-18,72,7.8,UbisoftRomania,"Simulation,Flight,WWII,WWII,Combat",Up to 16 ,24,13
17355,Digimon World Data Squad,PlayStation2,2007-09-18,43,7.7,Bec,"Role-Playing,General",1 Player,12,30
